Timestamp,Day of the sale,Quantity,Month of the year,Day of the week,Price (per item unless its a set),Card amount paid,Cash amount paid,Product type,Handmade / Beaded collections,Sterling Silver collections,Gold Plated collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/22/2024 13:49:03,12/22/2024,1,December,Sunday,30,0,30,Sterling Silver,,Baby Pin with evil eye,,Evil eye,,,,,
12/22/2024 14:55:11,12/22/2024,1,December,Sunday,40,40,0,Gold Plated,,,bracelets,Rose quartz,,,,,
12/22/2024 14:57:00,12/22/2024,1,December,Sunday,22,22,0,Gold Plated,,,stud earings,Raw Stone,,,Rose Quarts (january),,
12/22/2024 15:47:45,12/22/2024,1,December,Sunday,45,45,0,Gold Plated,,,necklaces,Raw Stone,,,White Crystal ,,
12/22/2024 15:49:16,12/22/2024,1,December,Sunday,38,38,0,Sterling Silver,,Sterling Silver anklets,,Zirconia,Several colours ,,,,
12/22/2024 16:56:15,12/22/2024,1,December,Sunday,25,25,0,Gold Plated,,,dangling earings,Birth stone diamond ,,,,,
12/22/2024 17:27:20,12/22/2024,1,December,Sunday,36,36,0,Gold Plated,,,bracelets,Hamza Hand ,,,,,
12/22/2024 17:28:21,12/22/2024,1,December,Sunday,22,3,19,Gold Plated,,,stud earings,Peridot,,,,,
12/22/2024 17:30:07,12/22/2024,1,December,Sunday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,Flower ,,,,,
12/22/2024 17:30:07,12/22/2024,1,December,Sunday,7.5,7.5,0,Handmade / Beaded,Earing Charms,,,Flower ,,,,,
12/23/2024 11:57:09,12/23/2024,1,December,Monday,40,40,0,Gold Plated,,,rings,Green emerald ,,,,,
