Timestamp,Day of the sale,Quantity,Month of the year ,Day of the week,Price (per item unless its a set),Card amount payed,Cash amount Payed,Product type,Beads Collections,Sterling silver collections,Gold Plated Collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/18/2024 10:04:33,8/16/2024,1,August,Friday,35,35,,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,,
12/18/2024 10:06:39,8/17/2024,1,August,Saturday,40,10,30,Sterling Silver,,Sterling Silver Nose rings,,Infinity,,,,,
12/18/2024 10:10:08,8/18/2024,1,August,Sunday,25,25,,Sterling Silver,,Sterling Silver Rings,,"Heart, adjustable.",,,,,
12/18/2024 10:11:27,8/19/2024,1,August,Monday,28,28,,Sterling Silver,,Sterling Silver Rings,,Raw Stone,,,Turquoise (december),,
12/18/2024 11:30:27,8/21/2024,1,August,Wednesday,69,69,,Sterling Silver,,SET,,Clover,,,,2,Necklace & Bracelet
12/18/2024 11:38:21,8/21/2024,1,August,Wednesday,40,40,,Sterling Silver,,Sterling Silver Necklaces,,Tree of Life,,,,,
12/18/2024 11:39:55,8/21/2024,1,August,Wednesday,32,32,,Sterling Silver,,Sterling Silver anklets,,Tennis White,,,,,
12/18/2024 11:43:47,8/21/2024,1,August,Wednesday,30,30,,Sterling Silver,,Sterling Silver Bracelets,,Evil eye,,,,,
12/18/2024 11:48:16,8/22/2024,1,August,Thursday,45,45,,Sterling Silver,,Sterling Silver Rings,,,,,,,
12/18/2024 11:49:58,8/22/2024,1,August,Thursday,48,48,,Sterling Silver,,Sterling Silver Rings,,,,,,,
12/18/2024 11:51:21,8/22/2024,1,August,Wednesday,25,20,5,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,,
12/22/2024 17:21:31,8/22/2024,1,August,Wednesday,94,94,,Sterling Silver,,SET,,N/A,,,,3,Necklace & Bracelet & Studs
12/18/2024 11:54:45,8/23/2024,1,August,Friday,60,60,,Gold Plated,,,stud earings,Raw Stone,,,Pearl moonstone (june),,
12/18/2024 11:56:04,8/23/2024,1,August,Friday,22,22,,Handmade / Beaded,beaded bracelets,,,Lava,,,,,
12/18/2024 11:57:31,8/23/2024,1,August,Friday,10,10,,Handmade / Beaded,beaded bracelets,,,Blue with Eye,,,,,
12/18/2024 12:39:32,8/26/2024,1,August,Monday,30,30,,Gold Plated,,,stud earings,Pink,,,,,
12/18/2024 12:53:28,8/28/2024,2,August,Wednesday,7.5,,15,Handmade / Beaded,Earing Charms,,,,,,,,
12/18/2024 12:54:52,8/28/2024,1,August,Wednesday,10,,10,Handmade / Beaded,beaded bracelets,,,,,,,,
12/18/2024 12:57:17,8/28/2024,1,August,Wednesday,38,38,,Sterling Silver,,Sterling Silver Bracelets,,Zirconia,white (diamond),,,,
12/18/2024 12:58:44,8/28/2024,1,August,Wednesday,10,10,,Handmade / Beaded,Earing Charms,,,Butterfly,,,,,
12/18/2024 12:53:28,8/28/2024,1,August,Wednesday,7.5,,15,Handmade / Beaded,Earing Charms,,,,,,,,
12/18/2024 12:53:28,8/28/2024,1,August,Wednesday,7.5,,15,Handmade / Beaded,Earing Charms,,,,,,,,
12/18/2024 13:00:10,8/29/2024,1,August,Thursday,20,20,,Handmade / Beaded,beaded bracelets,,,Raw Stone,,,Obsidian ,,
12/18/2024 13:01:58,8/30/2024,1,August,Friday,22,22,,Handmade / Beaded,beaded bracelets,,,Turkish,,,,,
12/19/2024 15:14:07,8/31/2024,1,August,Saturday,40,40,,Sterling Silver,,Sterling Silver Bracelets,,Orbit,,,,,
12/19/2024 15:14:59,8/31/2024,1,August,Saturday,30,30,,Sterling Silver,,Sterling Silver Stud Earings,,Circle,,,,,
12/19/2024 15:16:09,8/31/2024,1,August,Saturday,100,100,,Sterling Silver,,SET,,,,,,2,Necklace & Ring
